Serial Number,Movie Name,Movie Year,Movie Genre,Movie Rating
1,The Shawshank Redemption,1994,Drama            ,9.3
2,The Godfather,1972,"Crime, Drama            ",9.2
3,The Godfather: Part II,1974,"Crime, Drama            ",9
4,The Dark Knight,2008,"Action, Crime, Drama            ",9
5,12 Angry Men,1957,Drama            ,8.9
6,Schindler's List,1993,"Biography, Drama, History            ",8.9
7,The Lord of the Rings: The Return of the King,2003,"Adventure, Drama, Fantasy            ",8.9
8,Pulp Fiction,1994,"Crime, Drama            ",8.9
9,"The Good, the Bad and the Ugly",1966,Western            ,8.8
10,Fight Club,1999,Drama            ,8.8
11,The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Drama, Fantasy            ",8.8
12,Forrest Gump,1994,"Drama, Romance            ",8.8
13,Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy            ",8.7
14,Inception,2010,"Action, Adventure, Sci-Fi            ",8.8
15,The Lord of the Rings: The Two Towers,2002,"Adventure, Drama, Fantasy            ",8.7
16,One Flew Over the Cuckoo's Nest,1975,Drama            ,8.7
17,Goodfellas,1990,"Biography, Crime, Drama            ",8.7
18,The Matrix,1999,"Action, Sci-Fi            ",8.7
19,Seven Samurai,1954,"Action, Adventure, Drama            ",8.6
20,City of God,2002,"Crime, Drama            ",8.6
21,Se7en,1995,"Crime, Drama, Mystery            ",8.6
22,Star Wars: Episode IV - A New Hope,1977,"Action, Adventure, Fantasy            ",8.6
23,The Silence of the Lambs,1991,"Crime, Drama, Thriller            ",8.6
24,It's a Wonderful Life,1946,"Drama, Family, Fantasy            ",8.6
25,Life Is Beautiful,1997,"Comedy, Drama, Romance            ",8.6
26,The Usual Suspects,1995,"Crime, Mystery, Thriller            ",8.5
27,Spirited Away,2001,"Animation, Adventure, Family            ",8.6
28,Saving Private Ryan,1998,"Drama, War            ",8.6
29,Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure            ",8.4
30,Léon: The Professional,1994,"Action, Crime, Drama            ",8.5
31,The Green Mile,1999,"Crime, Drama, Fantasy            ",8.6
32,Interstellar,2014,"Adventure, Drama, Sci-Fi            ",8.6
33,Psycho,1960,"Horror, Mystery, Thriller            ",8.5
34,American History X,1998,Drama            ,8.5
35,City Lights,1931,"Comedy, Drama, Romance            ",8.5
36,Once Upon a Time in the West,1968,Western            ,8.5
37,Casablanca,1942,"Drama, Romance, War            ",8.5
